,year,title,director,cast,genre,producer,link,music,cast_size,imdb
0,1961,Akbar,K. Asif,"Dilip Kumar, Madhubala, Prithviraj Kapoor, Durga Khote",,Sterling Investment Corporation,/wiki/Mughal-e-Azam,Naushad,4.0,
1,1961,Arabu Naattu Azhagi,,,,,/wiki/Zabak,Vijayabhasker,,7.1
2,1961,Arasilangkumari,A. S. A. Sami & A. Kasilingam,"M. G. Ramachandran, Padmini, Rajasulochana",,Jupiter Pictures,/wiki/Arasilangkumari,G. Ramanathan,3.0,6.6
3,1961,Anbu Magan,T. Prakash Rao,"A. Nageswara Rao, Savitri",,Jayalakshmi Pictures,/wiki/Anbu_Magan,T. Chalapathi Rao,2.0,
4,1961,Bhagyalakshmi,K. V. Srinivasan,"Gemini Ganesan, Sowcar Janaki, E. V. Saroja",,Narayanan & Co,/wiki/Bhagyalakshmi_(1961_film),Viswanathan–Ramamoorthy,3.0,
5,1961,Ellam Unakkaga,A. Subbarao,"Sivaji Ganesan, Savitri, S. V. Ranga Rao",,Saravanabhava Unity Pictures,/wiki/Ellam_Unakkaga,K. V. Mahadevan,3.0,4.2
6,1961,Ennai Paar,G. R. Nathan,"T.R. Mahalingam, B. S. Saroja, Pandaribai",,Palaniyappa Productions,/wiki/Ennai_Paar,G. Ramanathan,3.0,
7,1961,Jagathala Prathapan,K. V. Reddy,"N. T. Rama Rao, B. Saroja Devi, L. Vijayalakshmi",,Vijaya Vauhini Studios,/wiki/Jagadeka_Veeruni_Katha,Pendyala Nageswara Rao,3.0,
8,1961,Kaanal Neer,P. S. Ramakrishna Rao,"A. Nageswara Rao, P.Banumathi, Sowcar Janaki",,Bharani Pictures,/wiki/Kaanal_Neer,P. Banumathi,3.0,
9,1961,Kappalottiya Thamizhan,B. R. Panthulu,"Sivaji Ganesan, Gemini Ganesan, Savitri, S. V. Ranga Rao, Tambaram Lalitha",,Padmini Pictures,/wiki/Kappalottiya_Thamizhan,G. Ramanathan,5.0,7.4
10,1961,Kongunattu Thangam,M. A. Thirumugam,"C. L. Anandan, M. R. Radha, Pushpalatha, Tambaram Lalitha",,Devar Films,/wiki/Kongunattu_Thangam,K. V. Mahadevan,4.0,
11,1961,Kumara Raja,G. K. Ramu,"J. P. Chandrababu, T. S. Balaiah, Suryakala, M. N. Rajam",,Sivakami Pictures,/wiki/Kumara_Raja,T. R. Pappa,4.0,
12,1961,Kumudham,A. Subbarao,"S. S. Rajendran, M. R. Radha, Sowcar Janaki, C. R. Vijayakumari",,Modern Theatres,/wiki/Kumudham,K. V. Mahadevan,4.0,
13,1961,Maharajan Petra Maindha,B. Vittalacharya,"Kanta Rao, Krishna Kumari, Rajanala, Mukkamala, Balakrishnan, Srikanth[disambiguation needed], Satya Narayana",,Vittal Productions,/w/index.php?title=Varalakshmi_Vratham_(1961_film)&action=edit&redlink=1,Rajan Nagendra,7.0,
14,1961,Malliyam Mangalam,Malliyam Rajagopal,"S. V. Sahasranamam, Pandari Bai, S. V. Subbaiah, Mynavathi, Lakshmi Muthuraman",,Tamilnadu Talkies,/wiki/Malliyam_Mangalam,T. A. Kalyanam,5.0,
15,1961,Mamiyarum Oru Veetu Marumagale,K. B. Tilak,"S. S. Rajendran, M. N. Rajam, Devika",,Anubama Films,/wiki/Mamiyarum_Oru_Veetu_Marumagale,Pendyala Nageswara Rao,3.0,6.9
16,1961,Manapanthal,V. N. Reddy,"S. S. Rajendran, S. A. Ashokan, B. Sarojadevi, E. V. Saroja",,R. R. Pictures,/wiki/Manapanthal,Viswanathan–Ramamoorthy,4.0,
17,1961,Marutha Nattu Veeran,T. R. Raghunath,"Sivaji Ganesan, Jamuna, P. S. Veerappa",,Saravanabhava Unity Pictures,/wiki/Marutha_Nattu_Veeran,S. V. Venkatraman,3.0,
18,1961,Naaga Nandhini,T. R. Raghunath,"Anjali Devi, K. Balaji, Devika, Sandhy, Nambiar",,B. V. N. Pictures,/wiki/Naaga_Nandhini,R. Sudharsanam,5.0,
19,1961,Nagarathil Zimbo,Nanubhai Bhatt,"Azad, Nilofer[disambiguation needed]",,,/wiki/Zimbo_Comes_To_Town,Vijaya Bhaskar,2.0,7.2
20,1961,Nallavan Vazhvan,P. Neelakantan,"M. G. Ramachandran, M. R. Radha, Rajasulochana",,Arasu Pictures,/wiki/Nallavan_Vazhvan,T. R. Pappa,3.0,
21,1961,Palum Pazhamum,A. Bhimsingh,"Sivaji Ganesan, M. R. Radha, B. Sarojadevi, Sowcar Janaki",,Saravana Films,/wiki/Palum_Pazhamum,Viswanathan–Ramamoorthy,4.0,7.4
22,1961,Panam Panthiyile,K. Somu,"S. S. Rajendran, M. R. Radha, C. R. Vijayakumari, Rajasree",,M. A. V. Pictures,/wiki/Panam_Panthiyile,K. V. Mahadevan,4.0,7.1
23,1961,Pangaaligal,G. Ramakrishna,"Gemini Ganesan, M. R. Radha, Anjali Devi, Devika",,Irish Movies,/wiki/Pangaaligal,S. Dakshinamurthi,4.0,
24,1961,Panithirai,Muktha V. Srinivasan,"Gemini Ganesan, B. Saroja Devi, K. A. Thangavelu",,Muktha Films,/wiki/Panithirai,K. V. Mahadevan,3.0,
25,1961,Pasamalar,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, Savitri, M. N. Rajam",,Rajamani Pictures,/wiki/Pasamalar,Viswanathan–Ramamoorthy,4.0,7.2
26,1961,Paava Mannippu,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, M. R. Radha, Savitri, M. V. Rajamma, Devika",,Buddha Pictures,/wiki/Paava_Mannippu,Viswanathan–Ramamoorthy,6.0,7.1
27,1961,Punar Janmam,R. S. Mani,"Sivaji Ganesan, Padmini, Ragini, K. A. Thangavelu",,Vijaya Films,/wiki/Punar_Janmam,T. Chalapathi Rao,4.0,
28,1961,Rishya Sringar,Mukkamala,"Haranath, Rajasulochana, Mukkamala",,,/w/index.php?title=Rushyasrunga&action=edit&redlink=1,T. V. Raju,3.0,7.1
29,1961,Sabaash Mapillai,S. Raghavan,"M. G. Ramachandran, M.R. Radha, Malini",,Ragavan Productions,/wiki/Sabaash_Mapillai,K. V. Mahadevan,3.0,6.8
30,1961,Sri Valli,T. R. Ramanna,"Sivaji Ganesan, Padmini, J. P. Chandrababu, T. R. Mahalingam",,Narasus Studio,/wiki/Sri_Valli_(1961_film),G. Ramanathan,4.0,
31,1961,Thaai Sollai Thattadhe,M. A. Thirumugam,"M.G. Ramachandran, B. Saroja Devi, M. R. Radha",,Devar Films,/wiki/Thaai_Sollai_Thattadhe,K. V. Mahadevan,3.0,7.3
32,1961,Thayilla Pillai,L. V. Prasad,"Kalyan Kumar, T. S. Balaiah, M. V. Rajamma, L. Vijayalakshmi, Nagesh",,Prasad Movies,/wiki/Thayilla_Pillai,K. V. Mahadevan,5.0,6.7
33,1961,Then Nilavu,C. V. Sridhar,"Gemini Ganesan, Vyjayanthimala, K. A. Thangavelu",,Chitralaya Films,/wiki/Then_Nilavu,A. M. Rajah,3.0,7.6
34,1961,Thirudadhe,P. Neelakantan,"M.G. Ramachandran, B. Sarojadevi, K. A. Thangavelu",,A. L. S. Productions,/wiki/Thirudadhe,S. M. Subbaiah Naidu,3.0,7.5
35,1961,Thooya Ullam,A. Subbarao,"A. Nageswara Rao, Savitri, K. A. Thangavelu",,Annapurna Pictures Ltd.,/wiki/Thooya_Ullam,K. V. Mahadevan,3.0,
36,1961,Veerakumar,B. Vittalacharya(Dialogues & Lyrics:Puratchidasan),"Kanta Rao, Krishna Kumari, Rajanala, Satyannarayana, Meenakumari, Balakrishna",,Vittal Productions,https://ghantasalagalamrutamu.blogspot.com/2012/08/1961_8803.html,Rajan-Nagendra,6.0,
37,1961,Yar Manamagan?,P. Subramaniam,"T. K. Balachandran, V. K. Ramasamy D. Balasubramaniam, Kumari K. V. Shanthi, C. R. Rajakumari",,Neela Productions,/wiki/Yar_Manamagan%3F,Br Lakshmanan,4.0,7.1
0,1962,Aadi Perukku,K. Shankar,"Gemini Ganesan, B. Saroja Devi, Devika, J. P. Chandrababu",,Madhan Theatres,/wiki/Aadi_Perukku_(film),A. M. Rajah,4.0,
1,1962,Aalayamani,K. Shankar,"Sivaji Ganesan, B. Saroja Devi, S. S. Rajendran, C. R. Vijayakumari",,P. S. V. Pictures,/wiki/Aalayamani,Viswanathan–Ramamoorthy,4.0,7.0
2,1962,Annai,Krishnan-Panju,"P. Bhanumathi, S. V. Ranga Rao, Haranath, Sowcar Janaki, Sachu, J. P. Chandrababu, Nagesh",,AVM Productions,/wiki/Annai_(1962_film),R. Sudarsanam,7.0,6.6
3,1962,Asthikkoru Aanum Asaikku Oru Ponnum,K. Somu,"K. Balaji, B. Saroja Devi, K. A. Thangavelu",,M. L. Pictures,/w/index.php?title=Asthikkoru_Aanum_Asaikku_Oru_Ponnum&action=edit&redlink=1,K. V. Mahadevan,3.0,
4,1962,Avana Ivan,S. Balachander,"S. Balachander, Vasanthi, Lakshmi Rajyam, Javar Seetharaman",,S. B. Creations,/wiki/Avana_Ivan,S. Balachander,4.0,6.7
5,1962,Azhagu Nila,S. Raghavan,"Kalyan Kumar, Malini, R. Muthuraman, Vasanthi, K. A. Thangavelu, V. K. Ramasamy",,Raghavan Productions,/wiki/Azhagu_Nila,K. V. Mahadevan,6.0,6.8
6,1962,Bale Pandiya,B. R. Panthulu,"Sivaji Ganesan, M. R. Radha, Devika",,Padmini Pictures,/wiki/Bale_Pandiya_(1962_film),Viswanathan–Ramamoorthy,3.0,7.7
7,1962,Bandha Pasam,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, Savitri, Devika",,Santhi Films,/wiki/Bandha_Pasam,Viswanathan–Ramamoorthy,4.0,5.1
8,1962,Deivathin Deivam,K. S. Gopalakrishnan,"S. S. Rajendran, C. R. Vijayakumari, Kumari Manimala",,Chitra Productions,/wiki/Deivathin_Deivam,G. Ramanathan,3.0,
9,1962,Ethaiyum Thangum Ithaiyam,P. Neelakantan,"S. S. Rajendran, K. R. Ramasamy, C. R. Vijayakumari",,Udhaya Sooriyan Productions,/wiki/Ethaiyum_Thangum_Ithaiyam,T. R. Pappa,3.0,
10,1962,Ellorum Vazhavendum,B. V. Acharya,"K. Balaji, M. R. Radha (Guest), S. A. Asokan, Malini, V. M. Ezhumalai, Nagesh",,S. R. S. Pictures,/wiki/Ellorum_Vazhavendum,Rajan-Nagendra,6.0,6.4
11,1962,Indra En Selvam,C. Padmanabhan,"M. R. Radha, Pandari Bai, S. A. Asokan, 'Baby' Sumangala",,Ashoka Pictures,/wiki/Indra_En_Selvam_(1962_film),C. N. Pandurangan,4.0,
12,1962,Kannadi Maaligai,Samy-Mahesh,"T. R. Radha Rani, M. R. Radha, S. A. Asokan, T. R. Saroja, A. C. Mohan, Sukumari, Chittor V. Nagaiah, S. D. Subbulakshmi, P. D. Sambandam, T. K. Sampangki,",,Rani Pictures,/wiki/Kannadi_Maaligai,T. Bathman,11.0,
13,1962,Kathiruntha Kangal,T. Prakash Rao,"Gemini Ganesan, Savitri, M. R. Radha",,Vasumathi Pictures,/wiki/Kathiruntha_Kangal,Viswanathan–Ramamoorthy,3.0,6.2
14,1962,Kavitha,T. R. Raghunath,"M. R. Radha, M. N. Nambiar, S. V. Ranga Rao, Rajasulochana, Pandari Bai, Pushpalatha",,Modern Theatres,/wiki/Kavitha_(1962_film),K. V. Mahadevan,6.0,
15,1962,Konjum Salangai,M. V. Raman,"Gemini Ganesan, Savitri, Kumari Kamala",,Raman Productions,/wiki/Konjum_Salangai,S. M. Subbaiah Naidu,3.0,6.6
16,1962,Kudumba Thalaivan,M. A. Thirumugam,"M. G. Ramachandran, B. Saroja Devi, M. R. Radha",,Devar Films,/wiki/Kudumba_Thalaivan,K. V. Mahadevan,3.0,6.5
17,1962,Maadappura,S. A. Subbaraman,"M. G. Ramachandran, B. Saroja Devi, M. R. Radha",,B. V. N. Productions,/wiki/Maadappura,K. V. Mahadevan,3.0,
18,1962,Madadhipathi Magal[3]Dubbed from Hindi,I. S. Johar,"Nalini Jaywant, Ajit, Ulhas, I. S. Johar, Raj Mehra, Roopmala, Leela Mishra, Mumtaz Begum, Mehmood and Rajen Haksar",,Shashadhar Mukherjee Productions,/wiki/Nastik_(1954_film),C. Ramchandra,9.0,7.2
19,1962,Mahaveera Bheeman,S. A. Subbaraman,"T. K. Bagavathi, S. A. Ashokan, P. V. Narasimha Bharathi, M. L. Pathy, Pal Sarma, E. R. Sahadevan, M. N. Sundar, S. K. Ramaraj, T. K. Sambangi, Gemini Sampath, M. R. Radha (Guest), Chittor V. Nagaiah (Guest), Jayasri, L. Vijayalakshmi, T. R. Rajini, T. V. Kumudhini, T. K. Ranjitham, Sumitra, K. S. Angamuthu, Saraswathi, Kumari Jaya, Ratna",,M. L. PathyJaikumar Pictures,/wiki/Mahaveera_Bheeman,M. S. Gnanamani,22.0,5.2
20,1962,Mangaiyar Ullam Mangatha Selvam,Vedantam Raghavaiah,"Gemini Ganesan, Anjali Devi, Jayanthi (debut), M.R. Radha",,Anjali Pictures,/wiki/Mangaiyar_Ullam_Mangatha_Selvam,P. Adinarayana Rao,4.0,
21,1962,Manithan Maravillai,K. Kameshwara Rao,"Gemini Ganesan, Savitri, A. Nageswara Rao, Jamuna, M. S. Sundari Bai, S. V. Ranga Rao, Serukalathur Sama, Raja, L. Vijayalakshmi",,Vijaya Productions,/wiki/Manithan_Maravillai,Ghantasala,9.0,5.8
22,1962,Muthu Mandapam,A. S. A. Sami,"S. S. Rajendran, C. R. Vijayakumari",,Rajendran Pictures,/wiki/Muthu_Mandapam,K. V. Mahadevan,2.0,
23,1962,Naagamalai Azhagi,G. Viswanathan,"M. R. Radha, T. R. Nadarajan, C. Leela, Gemini Chandra",,Matheswari Films,/wiki/Naagamalai_Azhagi,S. P. Kodandapani,4.0,
24,1962,Neeya Naana,A. Sheshagiri Rao,"C. L. Anandan, Devika, M. N. Nambiar, P. Kannamba, P. S. Veerappa, Rama Rao, O. A. K. Thevar, Nagesh, Rajasree, Manorama, Shoba",,Maheswari Productions,/w/index.php?title=Neeya_Naana_(film)&action=edit&redlink=1,K. V. Mahadevan,11.0,
25,1962,Nenjil Or Aalayam,C. V. Sridhar,"Kalyan Kumar, R. Muthuraman, Devika",,Chitralaya Pictures,/wiki/Nenjil_Or_Aalayam,Viswanathan–Ramamoorthy,3.0,7.7
26,1962,Nichaya Thaamboolam,B. S. Ranga,"Sivaji Ganesan, Jamuna, Rajasree",,Vikram Productions,/wiki/Nichaya_Thaamboolam,Viswanathan–Ramamoorthy,3.0,5.8
27,1962,Paadha Kaanikkai,K. Shankar,"Gemini Ganesan, Savitri, Kamal Haasan",,Saravana Films,/wiki/Paadha_Kaanikkai,Viswanathan–Ramamoorthy,3.0,7.7
28,1962,Padithal Mattum Podhuma,A. Bhimsingh,"Sivaji Ganesan, Savitri, M. R. Radha, Rajasulochana",,Ranganathan Pictures,/wiki/Padithal_Mattum_Podhuma,Viswanathan–Ramamoorthy,4.0,6.6
29,1962,Paarthaal Pasi Theerum,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, Savitri, B. Saroja Devi, Kamal Haasan",,AVM Productions,/wiki/Paarthaal_Pasi_Theerum,Viswanathan–Ramamoorthy,5.0,7.7
30,1962,Paasam,T. R. Ramanna,"M. G. Ramachandran, M. R. Radha, B. Saroja Devi, T. R. Rajakumari",,R. R. Pictures,/wiki/Paasam,Viswanathan–Ramamoorthy,4.0,7.5
31,1962,Pattinathar,K. Somu,"T. M. Soundararajan, Gemini Chandra, M. R. Radha",,J. R. Productions,/wiki/Pattinathar_(1962_film),G. Ramanathan,3.0,
32,1962,Pirandha Naal,K. Narayanan,"Prem Nazir, M. N. Rajam, V. K. Ramasamy, T. K. Ramachandran, S. P. Veerasamy, Kallapart Natarajan, K. K. Perumal, Karikol Raj, Devika, Manorama, K. N. Kamalam",,Vijaya Arts Films,/w/index.php?title=Pirandha_Naal&action=edit&redlink=1,K. V. Mahadevan[],11.0,7.0
33,1962,Policekaran Magal,C. V. Sridhar,"K. Balaji, R. Muthuraman, C. R. Vijayakumari, Pushpalatha",,Chitralaya Pictures,/wiki/Policekaran_Magal,Viswanathan–Ramamoorthy,4.0,7.0
34,1962,Raani Samyuktha,D. Yoganand,"M. G. Ramachandran, Padmini, Ragini",,Saraswathy Pictures,/wiki/Raani_Samyuktha,K. V. Mahadevan,3.0,
35,1962,Saradha,K. S. Gopalakrishnan,"S. S. Rajendran, C. R. Vijayakumari, M. R. Radha",,A. L. S. Productions,/wiki/Sarada_(1962_film),K. V. Mahadevan,3.0,
36,1962,Seemaan Petra Selvangal,S. Ramakrishnan,"M. R. Radha, Pandari Bai, K. A. Thangavelu",,Paramu Films,/w/index.php?title=Seemaan_Petra_Selvangal&action=edit&redlink=1,K. V. Mahadevan,3.0,7.0
